foid,flid,oid,height,width,ocr
1,1,43,181.2619934082,276.28167724609,
2,2,2,91.383850097656,121.46068572998,
3,2,44,114.7477722168,156.29815673828,a3
4,2,44,65.549346923828,150.61175537109,
5,2,47,92.027526855469,158.10913085938,
6,2,57,83.95166015625,137.29473876953,
7,2,59,61.653991699219,93.919677734375,
8,2,60,50.195709228516,83.281341552734,
9,3,55,79.634063720703,96.124359130859,
10,3,62,57.798583984375,75.673889160156,
11,4,64,128.4871673584,175.50840759277,
12,5,2,123.61953735352,125.2474822998,
13,6,5,83.827331542969,78.283889770508,
14,7,44,127.03221130371,250.79870605469,PILOT Dnon
15,8,55,48.812927246094,108.35803222656,
16,8,61,90.730026245117,110.96684265137,
17,9,30,201.36318969727,221.46606445312,
18,10,5,107.16766357422,91.575485229492,"MO 179
.T.6317"
19,10,5,122.52160644531,93.999221801758,"MO
9417819S
T."
20,10,49,70.265731811523,127.63787841797,
21,10,49,72.717041015625,105.01800537109,
22,10,49,82.823150634766,115.21109008789,
23,11,5,143.05941772461,73.73469543457,O9417S
24,11,5,136.4762878418,63.675109863281,MO 9417
25,11,59,65.356140136719,73.4814453125,
26,11,59,49.219085693359,63.630828857422,
27,12,59,97.770690917969,114.58465576172,
28,12,88,117.08903503418,64.067810058594,
29,12,88,196.1692199707,74.078353881836,
30,13,88,106.67599487305,69.731872558594,
31,14,52,165.28286743164,105.42114257812,
32,14,52,161.35803222656,105.29818725586,
33,14,55,80.659606933594,187.36547851562,
34,14,55,93.438140869141,189.95259094238,
35,14,55,117.68771362305,236.4266204834,
36,14,55,127.60311889648,244.59600830078,
37,14,55,77.574920654297,201.41024780273,
38,14,55,73.096649169922,143.34866333008,
39,14,55,80.310302734375,144.24371337891,
40,14,55,77.134384155273,150.65466308594,
41,15,50,55.245666503906,232.92379760742,
42,15,52,233.33108520508,183.66802978516,
43,16,19,55.432952880859,70.628173828125,
44,16,19,55.152740478516,73.809051513672,
45,16,44,184.93304443359,239.52960205078,PASSINIIR
46,16,44,250.77667236328,320.09494018555,sEEEs
47,17,19,54.379852294922,51.610107421875,
48,17,52,171.10906982422,94.800750732422,
49,17,52,158.63179016113,85.700866699219,
50,17,52,83.814910888672,78.307159423828,
51,17,61,37.274658203125,116.06805419922,
52,17,61,43.022659301758,101.82196044922,
53,17,61,38.903076171875,100.69525146484,
54,17,61,40.247619628906,96.060821533203,
55,17,61,37.731918334961,86.478149414062,
56,17,62,56.681488037109,54.175567626953,
57,18,2,106.3635559082,95.820449829102,
58,18,44,101.75018310547,189.80151367188,
59,18,44,99.184509277344,234.64471435547,
60,19,52,200.17230224609,151.53912353516,
61,19,55,90.465606689453,144.52893066406,
62,19,55,115.93374633789,183.61865234375,
63,20,4,118.41763305664,72.971374511719,
64,20,4,119.45448303223,67.686599731445,
65,20,19,168.88710021973,93.571166992188,
66,20,19,100.1608581543,70.032012939453,
67,21,59,96.458068847656,109.50190734863,
68,21,59,81.329345703125,124.72511291504,
69,21,59,91.072723388672,126.57025146484,
70,21,59,74.399566650391,104.41165161133,
71,21,59,77.865386962891,117.74166870117,
